### TABLE 00a4e7b8 n=114
00a52e40 islookingat                                  fn=007d7950 dev=0
00a52e4c isthrowinggrenade                            fn=007d7ab0 dev=0
00a52e58 isfiring                                     fn=007d7a00 dev=0
00a52e64 ismeleeing                                   fn=007d7b40 dev=0
00a52e70 isswitchingweapons                           fn=007d7bd0 dev=0
00a52e7c playlocalsound                               fn=007d7c70 dev=0
00a52e88 stoplocalsound                               fn=007d7ce0 dev=0
00a52e94 setautopickup                                fn=007d7d50 dev=0
00a52ea0 setweaponammoclip                            fn=007d7e60 dev=0
00a52eac setweaponammostock                           fn=007d7f40 dev=0
00a52eb8 getweaponrenderoptions                       fn=007d8110 dev=0
00a52ec4 getweaponammoclip                            fn=007d8050 dev=0
00a52ed0 getweaponammostock                           fn=007d81c0 dev=0
00a52edc anyammoforweaponmodes                        fn=007d8280 dev=0
00a52ee8 enablehealthshield                           fn=007d8340 dev=0
00a52ef4 setclientdvar                                fn=007d83c0 dev=0
00a52f00 setclientdvars                               fn=007d8620 dev=0
00a52f0c playclientnapalm                             fn=007d8510 dev=0
00a52f18 setoffhandsecondaryclass                     fn=00568720 dev=0
00a52f24 setoffhandprimaryclass                       fn=00514f00 dev=0
00a52f30 getoffhandsecondaryclass                     fn=0063ce00 dev=0
00a52f3c beginlocationselection                       fn=007d87b0 dev=0
00a52f48 endlocationselection                         fn=007d88e0 dev=0
00a52f54 weaponlockstart                              fn=005e95c0 dev=0
00a52f60 weaponlockfinalize                           fn=004f5460 dev=0
00a52f6c weaponlockfree                               fn=005674d0 dev=0
00a52f78 weaponlocktargettooclose                     fn=00649d10 dev=0
00a52f84 weaponlocknoclearance                        fn=0068e570 dev=0
00a52f90 allowads                                     fn=00418170 dev=0
00a52f9c allowjump                                    fn=00482e30 dev=0
00a52fa8 allowsprint                                  fn=0048bb90 dev=0
00a52fb4 allowmelee                                   fn=00489fb0 dev=0
00a52fc0 setspreadoverride                            fn=005bad10 dev=0
00a52fcc resetspreadoverride                          fn=005f0c10 dev=0
00a52fd8 setactionslot                                fn=007d8970 dev=0
00a52fe4 disableweapons                               fn=007d8ae0 dev=0
00a52ff0 enableweapons                                fn=007d8b90 dev=0
00a52ffc disableweaponfire                            fn=007d8c00 dev=0
00a53008 enableweaponfire                             fn=007d8d50 dev=0
00a53014 enableweaponreload                           fn=007d8c70 dev=0
00a53020 disableweaponreload                          fn=007d8ce0 dev=0
00a5302c disableoffhandweapons                        fn=007d8dc0 dev=0
00a53038 enableoffhandweapons                         fn=007d8e30 dev=0
00a53044 disableweaponcycling                         fn=007d8ea0 dev=0
00a53050 enableweaponcycling                          fn=007d8f10 dev=0
00a5305c nightvisionforceoff                          fn=007d8f80 dev=0
00a53068 getweaponslist                               fn=004d5cc0 dev=0
00a53074 getweaponslistprimaries                      fn=00697600 dev=0
00a53080 setperk                                      fn=007d8ff0 dev=0
00a5308c hasperk                                      fn=007d90b0 dev=0
00a53098 clearperks                                   fn=007d9230 dev=0
00a530a4 unsetperk                                    fn=007d9170 dev=0
00a530b0 enableinvulnerability                        fn=007d92b0 dev=0
00a530bc disableinvulnerability                       fn=007d9320 dev=0
00a530c8 forceviewmodelanimation                      fn=007d9390 dev=0
00a530d4 disableturretdismount                        fn=007d94b0 dev=0
00a530e0 enableturretdismount                         fn=007d9520 dev=0
00a530ec spawn                                        fn=007d9780 dev=0
00a530f8 uploadscore                                  fn=007d9590 dev=0
00a53104 uploadtime                                   fn=007d96b0 dev=0
00a53110 suicide                                      fn=007d98f0 dev=0
00a5311c throwdownweapon                              fn=007d9980 dev=0
00a53128 setspawnweapon                               fn=007da640 dev=0
00a53134 cleardamageindicator                         fn=007d9a90 dev=0
00a53140 finishplayerdamage                           fn=007da700 dev=0
00a5314c reviveplayer                                 fn=007db090 dev=0
00a53158 setlaststandprevweap                         fn=007db010 dev=0
00a53164 undolaststand                                fn=007d9b20 dev=0
00a53170 iprintln                                     fn=007d9810 dev=0
00a5317c iprintlnbold                                 fn=007d9880 dev=0
00a53188 clientsyssetstate                            fn=007d6260 dev=0
00a53194 setadswidthandlerp                           fn=007d6830 dev=0
00a531a0 resetadswidthandlerp                         fn=007d68d0 dev=0
00a531ac getcurrentarcadehighscore                    fn=00803dc0 dev=0
00a531b8 getscoremultiplier                           fn=007d9bc0 dev=0
00a531c4 setscoremultiplier                           fn=007d9be0 dev=0
00a531d0 setrank                                      fn=007d9c10 dev=0
00a531dc startrevive                                  fn=007d9cf0 dev=0
00a531e8 stoprevive                                   fn=007d9d80 dev=0
00a531f4 allowspectateteam                            fn=007d9e10 dev=0
00a53200 cloneplayer                                  fn=007d9ef0 dev=0
00a5320c setlowready                                  fn=007da1e0 dev=0
00a53218 setscripthintstring                          fn=007da330 dev=0
00a53224 allowpickupweapons                           fn=007da430 dev=0
00a53230 setloweredweapon                             fn=007da2a0 dev=0
00a5323c issplitscreen                                fn=007d7210 dev=0
00a53248 isplayeronsamemachine                        fn=007d7260 dev=0
00a53254 playerknockback                              fn=007d7300 dev=0
### TABLE 00a535c8 n=23
00a535c8 settext                                      fn=007de4c0 dev=0
00a535d4 clearalltextafterhudelem                     fn=007de2c0 dev=0
00a535e0 setshader                                    fn=007de580 dev=0
00a535ec settargetent                                 fn=007de6a0 dev=0
00a535f8 cleartargetent                               fn=007de340 dev=0
00a53604 settimer                                     fn=007dea60 dev=0
00a53610 settimerup                                   fn=007dea90 dev=0
00a5361c settenthstimer                               fn=007deac0 dev=0
00a53628 settenthstimerup                             fn=007deaf0 dev=0
00a53634 setclock                                     fn=007deb20 dev=0
00a53640 setclockup                                   fn=007deb50 dev=0
00a5364c setvalue                                     fn=007de390 dev=0
00a53658 setwaypoint                                  fn=007deb80 dev=0
00a53664 fadeovertime                                 fn=007dec20 dev=0
00a53670 scaleovertime                                fn=007dee00 dev=0
00a5367c moveovertime                                 fn=007def30 dev=0
00a53688 reset                                        fn=007de430 dev=0
00a53694 destroy                                      fn=007de470 dev=0
00a536a0 setpulsefx                                   fn=007df030 dev=0
00a536ac setcod7decodefx                              fn=007df170 dev=0
00a536b8 setredactfx                                  fn=007df270 dev=0
00a536c4 gettextwidth                                 fn=005d7060 dev=0
00a536d0 changefontscaleovertime                      fn=007ded10 dev=0
### TABLE 00a54218 n=291
00a54218 animscripted                                 fn=00808690 dev=0
00a54224 animscriptedskiprestart                      fn=00808700 dev=0
00a54230 animrelative                                 fn=008003e0 dev=0
00a5423c stopanimscripted                             fn=004ce100 dev=0
00a54248 startignoringspotlight                       fn=007f1990 dev=0
00a54254 stopignoringspotlight                        fn=007f19d0 dev=0
00a54260 attach                                       fn=007f1a10 dev=0
00a5426c detach                                       fn=007f1b00 dev=0
00a54278 detachall                                    fn=007f1c10 dev=0
00a54284 getattachsize                                fn=007f1c50 dev=0
00a54290 getattachmodelname                           fn=007f1cb0 dev=0
00a5429c getattachtagname                             fn=007f1d30 dev=0
00a542a8 getdestructiblename                          fn=007f1db0 dev=0
00a542b4 getattachignorecollision                     fn=007f1e00 dev=0
00a542c0 hidepart                                     fn=007f1e90 dev=0
00a542cc showpart                                     fn=007f2000 dev=0
00a542d8 showallparts                                 fn=007f2170 dev=0
00a542e4 setvisibletoplayer                           fn=007f21f0 dev=0
00a542f0 setinvisibletoplayer                         fn=007f2260 dev=0
00a542fc setvisibletoall                              fn=007f2300 dev=0
00a54308 setforcenocull                               fn=007f2340 dev=0
00a54314 linkto                                       fn=007f2380 dev=0
00a54320 disableclientlinkto                          fn=007f25a0 dev=0
00a5432c enableclientlinkto                           fn=007f25f0 dev=0
00a54338 getlinkedent                                 fn=007f2640 dev=0
00a54344 setstablemissile                             fn=007f5560 dev=0
00a54350 playersetgroundreferenceent                  fn=007f27c0 dev=0
00a5435c playerlinkto                                 fn=007f2880 dev=0
00a54368 playerlinktodelta                            fn=007f2be0 dev=0
00a54374 playerlinktoabsolute                         fn=007f2f80 dev=0
00a54380 dontinterpolate                              fn=007f3200 dev=0
00a5438c unlink                                       fn=007f30c0 dev=0
00a54398 enablelinkto                                 fn=007f3160 dev=0
00a543a4 codespawnerspawn                             fn=007f3250 dev=0
00a543b0 codespawnerforcespawn                        fn=007f33c0 dev=0
00a543bc precachespawner                              fn=007f3530 dev=0
00a543c8 getorigin                                    fn=007f3540 dev=0
00a543d4 floatlonger                                  fn=008077e0 dev=0
00a543e0 forcebuoyancy                                fn=00807830 dev=0
00a543ec disabledepthbuoyancyadjustments              fn=00807880 dev=0
00a543f8 scalebuoyancy                                fn=008078d0 dev=0
00a54404 getcentroid                                  fn=007f35d0 dev=0
00a54410 getshootatpos                                fn=00807950 dev=0
00a5441c launchbomb                                   fn=007f3620 dev=0
00a54428 geteye                                       fn=007f4170 dev=0
00a54434 getpointinbounds                             fn=007f40e0 dev=0
00a54440 geteyeapprox                                 fn=007f4200 dev=0
00a5444c getdebugeye                                  fn=007f4310 dev=1
00a54458 useby                                        fn=007f43a0 dev=0
00a54464 istouching                                   fn=007f4460 dev=0
00a54470 playsound                                    fn=007f45d0 dev=0
00a5447c playsoundtoplayer                            fn=007f4660 dev=0
00a54488 playsoundontag                               fn=007f4710 dev=0
00a54494 playsoundasmaster                            fn=007f45d0 dev=0
00a544a0 playloopsound                                fn=007f48a0 dev=0
00a544ac stoploopsound                                fn=007f4980 dev=0
00a544b8 stopsound                                    fn=00807b30 dev=0
00a544c4 stopsounds                                   fn=007f4a50 dev=0
00a544d0 hasusedweapon                                fn=004c9e80 dev=0
00a544dc playrumbleonentity                           fn=00651a30 dev=0
00a544e8 playrumblelooponentity                       fn=00651a30 dev=0
00a544f4 stoprumble                                   fn=00651a30 dev=0
00a54500 iswaitingonsound                             fn=007f4aa0 dev=0
00a5450c delete                                       fn=007f4af0 dev=0
00a54518 setmodel                                     fn=007f4b70 dev=0
00a54524 setzombieshrink                              fn=00807ba0 dev=0
00a54530 setscale                                     fn=007f4bc0 dev=0
00a5453c setshadowhint                                fn=007f4c40 dev=0
